date	step	target	decision	evidence	reason	confidence	actor
2026-09-09	transcribe	p01(표지)	transcribed	native/p01.png	인쇄 선언(총 9쪽·선택형22문항·서술형6문항)·고사반영비율(중간30/기말30/수행40)·유의사항 1~5(서답형 답안 작성 관련 포함) 전부 확인, 절단 없이 완결. 회전각 -90	high	main-loop
2026-09-09	transcribe	p02(1~3번, 인쇄1면)	transcribed	native/p02.png	선택형 안내 박스 확인. 1,2,3번 지문·발문·선택지·배점 전부 완결. 회전각 +90, 꼬리말 '전체 9면 중 1면'	high	main-loop
2026-09-09	transcribe	p03(4~5번, 인쇄2면)	transcribed	native/p03.png	4,5번 지문·발문·선택지·배점 완결. 회전각 -90, 꼬리말 '전체 9면 중 2면'	high	main-loop
2026-09-09	transcribe	p04(6~7번+서술형1, 인쇄3면)	transcribed	native/p04.png	6,7번 및 서술형1 완결. 7번과 서술형1이 지문 공유(지면 머리 '[7, 서술형1]' 1회 인쇄). 회전각 +90, 꼬리말 '전체 9면 중 3면'	high	main-loop
2026-09-09	transcribe	p05(8~10번, 인쇄4면)	transcribed	native/p05.png	8,9,10번 지문·발문·선택지·배점 완결. 회전각 -90, 꼬리말 '전체 9면 중 4면'	high	main-loop
2026-09-09	transcribe	p06(11~13번+서술형2, 인쇄5면)	transcribed	native/p06.png	11,12,13번 및 서술형2 완결. 11번과 서술형2가 지문 공유, 12번과 13번이 지문 공유. 회전각 +90, 꼬리말 '전체 9면 중 5면'	high	main-loop
2026-09-09	observed	서술형2 요약문 'in order to to get food'	printed-as-is	p06+좌단 요약문 둘째 줄(300dpi 확대 대조)	to 중복이 본문과 동일 활자·자간으로 인쇄되어 있고 필기가 아님을 확인. 원본 오탈 여부는 판단하지 않고 관측 사실만 기록(원칙 1)	high	main-loop
2026-09-09	transcribe	p07(14~15번+서술형3, 인쇄6면)	transcribed	native/p07.png	14,15번 및 서술형3 완결. 14번과 서술형3이 지문 공유. 지문 본문은 P-지문 예외 적용(아래 policy 행 참조). 회전각 -90, 꼬리말 '전체 9면 중 6면'	high	main-loop
2026-09-09	observed	14번 지문 빈칸 라벨 '(가)'	printed-twice	p07+좌단 2단락 및 3단락	라벨 (가)가 2단락('As (가)__, (나)__.')과 3단락('Kids also get better at lying as (가)__.')에 각각 인쇄되어 문면에 두 번 나타난다. 서술형3 발문은 (가)와 (나) 둘만 요구한다. 오탈 여부는 판단하지 않고 관측 사실만 기록(원칙 1)	high	main-loop
2026-09-09	transcribe	p08(16~18번, 인쇄7면)	transcribed	native/p08.png	16,17,18번 완결. 16번과 17번이 지문 공유, 18번은 순서배열(주어진 글 박스 + A/B/C). 어휘 주석 4종 인쇄 확인. 회전각 +90, 꼬리말 '전체 9면 중 7면'	high	main-loop
