item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
1	분석SC1(정본ID아님)	질량 감소와 방출 에너지의 대응	반응식에서 두 장치의 과정 비교로	방출 에너지에서 전기 생산량과 전환 효율의 구별로	동일 핵에너지와 다른 유효 출력을 분리해야 함	EX-science-20252M 선택1·3/서술1; catalog_update_SC §1-3	REVIEW
2	2024분석 전자기유도(정본ID아님)	코일의 자기장 변화에 의한 유도	고정 코일에서 자석·코일 각각 및 동시 운동의 통제실험으로	전류 크기 비교에서 운동 판정 기준의 충분성 판단으로	지면 운동과 상대 운동을 구분하는 반례 구성	EX-science-20242M 선택2; classification §1	REVIEW
3	2024분석 송전(정본ID아님)	P=VI와 선로 손실 I²R	복수 송전선 비교에서 관측 전류에 의한 전압 역추론으로	손실 계산에서 변압기 에너지 창조 주장 검토로	계산 경로가 기출의 고정전력 송전 비교와 충분히 다른지 감사 필요	EX-science-20242M 선택6/서술S2; classification §1	REVIEW
4	ER-05	물질 순환과 에너지 전환의 구별	순환 모식도에서 연간 탄소 수지로	에너지원 식별에서 순저장량 및 물질·에너지 순환 구별로	출입 차이 계산과 원자 보존/에너지 순환의 혼동을 함께 평가	EX-science-20252M 선택2; catalog_update_SC §2-3	REVIEW
5	분석SC5(정본ID아님)	산화와 물질 보존	불꽃 위치 탐구에서 밀폐계와 고체 부분계로	물질 변화 판정에서 측정계 경계에 따른 질량 비교로	고체 증가와 전체 보존을 동시에 만족시켜야 함	EX-science-20252M 선택9; catalog_update_SC §1-1	REVIEW
6	분석SC5(정본ID아님)	전자 보존과 이온 교환	상이한 전하 정량 표에서 동일전하 교환으로	변화량 역산에서 이온 수 불변으로 반응 부재를 추론하는 오류 검토로	양이온 수가 일정해도 반응 진행이 가능함을 판별	EX-science-20252M 선택11/서술2; catalog_update_SC §1-1	REVIEW
7	분석SC6(정본ID아님)	유전 형질의 세대 구성은 생존·번식에 의존	연속 과정 설명에서 서로 다른 생존/번식 지표의 표로	선택 방향 재진술에서 생존 순위와 자손 수 순위의 역전 검증으로	두 단계 기여를 곱해 단일 지표로 선택 결과를 단정하는 오류를 검출	EX-science-20242M 선택14·15; EX-science-20252M 선택12·13/서술3	REVIEW
8	분석SC7(정본ID아님)	다양성 수준은 서로 대체 불가	예시 분류에서 종별 계통/생태계의 전후 다수준 변화표로	이름 연결에서 감소 대상과 서로 다른 분모의 손실 비율 비교로	종 수는 보존되지만 계통과 생태계는 다른 비율로 줄어드는 사례로 단일지표 평가를 반박; 합산 계통수는 문항내 집계이지 표준 다양성 지수 아님	EX-science-20242M 선택17; EX-science-20252M 선택14·15	REVIEW
9	분석SC5(정본ID아님)	산화환원과 물질 배출	직접 제련 반응에서 외부 전력 배출을 포함하는 계로	배출의 정성 대소에서 배출계수에 따른 우위 역전으로	P=직접배출+전력배출과 Q의 경계값을 비교해야 함	EX-science-20252M 선택7; catalog_update_SC §1-1	REVIEW
10	분석SC6(정본ID아님)	환경별 생존·번식으로 형질 구성이 변함	한 환경 진화 모식도에서 크기가 다른 두 환경의 생존/번식 표로	우세 형질 판별에서 두 집단을 합친 차세대 구성 역산으로	환경별 생존자→자손→합집단의 순서가 필요; 7번과 공유되는 생존×번식 단계는 N4 감사 대상	EX-science-20242M 선택15; EX-science-20252M 서술3	REVIEW
11	분석SC7(정본ID아님)	집단 연결과 다양성 보전	시설 명칭에서 연결 전후 계통 집합의 분포표로	보전 주체 분류에서 집단별 합계와 지역 고유 계통의 변화 비교로	공유 계통의 중복 집계를 제외해야 지역과 집단의 효과를 분리할 수 있음	EX-science-20252M 선택14·15; catalog_update_SC §1-3	REVIEW
12	분석SC8(정본ID아님)	환경 요인과 생물 반응	관계도 사례에서 빛·온도의 이요인 실험표로	요인 명칭 판별에서 조건별 반대 효과와 평균 상쇄 검증으로	통제된 비교쌍을 두 온도에서 각각 구성하고 합산 결론의 오류를 판별	EX-science-20252M 선택17; catalog_update_SC §1-3	REVIEW
13	분석SC3(정본ID아님)	자료와 예측 성능의 관계	검색 시계열 비교에서 환자/비환자 검증표로	모형 장점 식별에서 서로 다른 분모와 두 성능 제약에 의한 선택으로	전체 정확도가 조건부 성능을 보장하는지 실제 비율로 반박	EX-science-20252M 선택5; catalog_update_SC §1-3	REVIEW
14	분석SC9(정본ID아님)	생존 기간과 환경으로 지층 해석	화석 사진에서 생존기간+사건층 경계의 연속시간 자료로	시대 명칭 식별에서 각 지층의 가능 구간 교집합과 필연성 판단으로	화석 범위와 사건층 선후를 각각 결합한 뒤 동시 생성 가능과 확정을 구별	EX-science-20252M 선택18·22; catalog_update_SC §1-2	REVIEW
15	분석SC9(정본ID아님)	지표 운동과 해수면 변화가 환경 전환에 기여	화석/지도에서 두 지역의 절대 높이 변화 자료로	과거 환경 판별에서 노출 여부와 융기 없는 반사실 비교로	공통 해수면 변화에서 지역별 지표 운동을 분리하여 같은 출발 수심의 다른 결과를 설명	EX-science-20252M 선택22; EX-science-20242M 서술S5	REVIEW
16	분석SC9(정본ID아님)	멸종과 다양성의 시간 변화	과의 수 곡선에서 세 시점의 완전 종 목록으로	감소 시기 식별에서 구간별 집합 차이와 처음 종의 존속 추적로	총수가 유지되어도 각 구간의 소실·신규 출현 수는 다름을 도출	EX-science-20252M 선택23; catalog_update_SC §1-2	REVIEW
17	분석SC5(정본ID아님)	전자 보존과 양이온 수지	별도 금속 실험표에서 한 용액의 선택적 연속 반응으로	한 상태 역산에서 종말점으로 초기 구성 복원 후 중간 단계 복원으로	보존량 두 식과 단계별 감소량의 의미를 연결	EX-science-20252M 선택11/서술2; catalog_update_SC §1-1	REVIEW
18	분석SC6(정본ID아님)	세대별 형질 비율과 생존·번식의 관계	단일 집단 순서도에서 두 서식지의 전후 집계표로	선택과정 채우기에서 전체 구성변화가 집단 내부 우위를 입증하는지 반례 검증으로	각 형질의 부모당 자손 수는 같아도 서식지 구성비로 전체형질비율이 바뀔 수 있음을 복원	EX-science-20242M 선택15; EX-science-20252M 서술3	REVIEW
19	분석SC3(정본ID아님)	예측 모형 성능은 평가 자료 구성에 의존	시계열 모형 비교에서 두 환경 층화 오차표로	예측 특성에서 혼합비 임계점과 순위 역전으로	전체 평균 우열을 조건부 성능과 평가비중으로 분해	EX-science-20252M 선택5; catalog_update_SC §1-3	REVIEW
20	분석SC9(정본ID아님)	화석 동시 출현과 생존 구간	시대 표준화석에서 세 지역의 부분 겹침 기록으로	시대 판별에서 모든 종 동시성의 필요 여부로	부분 교집합 관측이 전체 교집합을 보장하는지 반례로 판단	EX-science-20252M 선택18·22; catalog_update_SC §1-2	REVIEW
21	2024분석 열기관(정본ID아님)	열에너지 수지와 효율	단일기관에서 폐열을 받는 직렬 두 기관으로	효율 대입에서 서로 다른 기준량의 합산 오류 교정으로	둘째 효율의 분모를 최초 공급열로 환산해야 함	EX-science-20242M 서술S1; classification §1	REVIEW
