type_id	subject_code	unit_major	unit_minor	importance	status_code
T-01	english	-	-	★★★	verified
T-02	english	-	-	★★★	verified
T-03	english	-	-	★★★	verified
T-04	english	-	-	★★★	verified
T-05	english	-	-	★★★	verified
T-06	english	-	-	★★★	verified
T-07	english	-	-	★★★	verified
T-08	english	-	-	★★★	verified
T-09	english	-	-	★★	verified
T-10	english	-	-	★★★	verified
T-11	english	-	-	★★	verified
T-12	english	-	-	★★	verified
W-01	english	-	-	★★★	verified
W-02	english	-	-	★★★	verified
W-03	english	-	-	★★	verified
W-04	english	-	-	★	verified
F-01	history	-	-	★★★	verified
F-02	history	-	-	★★★	verified
F-03	history	-	-	★★	verified
F-04	history	-	-	★★★	verified
F-05	history	-	-	★★	verified
F-06	history	-	-	★★	verified
F-07	history	-	-	★★★	verified
F-08	history	-	-	★★★	verified
K-01	korean	-	-	★★★	verified
K-02	korean	-	-	★★★	verified
K-03	korean	-	-	★★★	verified
K-04	korean	-	-	★	verified
K-05	korean	-	-	★★★	verified
K-06	korean	-	-	★★★	verified
K-07	korean	-	-	★★★	verified
K-08	korean	-	-	★★	verified
K-09	korean	-	-	★★★	verified
K-10	korean	-	-	★★	verified
K-11	korean	-	-	★★	verified
K-12	korean	-	-	★★★	verified
SM-01	math1	-	-	★★★	verified
SM-02	math1	-	-	★★★	verified
SM-03	math1	-	-	★★★	verified
SM-04	math1	-	-	★★★	verified
SM-05	math1	-	-	★★★	verified
SM-06	math1	-	-	★★★	verified
SM-07	math1	-	-	★★★	verified
SM-08	math1	-	-	★★★	verified
SM-09	math1	-	-	★★★	verified
SM-10	math1	-	-	★★	verified
SM-11	math1	-	-	★★	verified
SM-12	math1	-	-	★★★	verified
SM-13	math1	-	-	★★★	verified
SM-14	math1	-	-	★★★	verified
SM-15	math1	-	-	★★★	verified
SM-16	math1	-	-	★★★	verified
SM-17	math1	-	-	★★★	verified
SM-18	math1	-	-	★★	verified
SM2-01	math2	I.도형의방정식	1.평면좌표	★★	verified_aux
SM2-02	math2	I.도형의방정식	1.평면좌표	★★	verified_aux
SM2-03	math2	I.도형의방정식	1.평면좌표	★★	verified_aux
SM2-04	math2	I.도형의방정식	1.평면좌표	★★	verified_aux
SM2-05	math2	I.도형의방정식	1.평면좌표	★★	verified_aux
SM2-06	math2	I.도형의방정식	1.평면좌표	★★	verified_aux
SM2-07	math2	I.도형의방정식	2.직선의방정식	★★	verified_aux
SM2-08	math2	I.도형의방정식	2.직선의방정식	★★	verified_aux
SM2-09	math2	I.도형의방정식	2.직선의방정식	★★★	verified_aux
SM2-10	math2	I.도형의방정식	2.직선의방정식	★★	verified_aux
SM2-11	math2	I.도형의방정식	2.직선의방정식	★★	verified_aux
SM2-12	math2	I.도형의방정식	2.직선의방정식	★★	verified_aux
SM2-13	math2	I.도형의방정식	2.직선의방정식	★★★	verified_aux
SM2-14	math2	I.도형의방정식	2.직선의방정식	★★	verified_aux
SM2-15	math2	I.도형의방정식	3.원의방정식	★★	verified_aux
SM2-16	math2	I.도형의방정식	3.원의방정식	★★★	verified_aux
SM2-17	math2	I.도형의방정식	3.원의방정식	★★	verified_aux
SM2-18	math2	I.도형의방정식	3.원의방정식	★★	verified_aux
SM2-19	math2	I.도형의방정식	3.원의방정식	★★	verified_aux
SM2-20	math2	I.도형의방정식	3.원의방정식	★★	verified_aux
SM2-21	math2	I.도형의방정식	3.원의방정식	★★	verified_aux
SM2-22	math2	I.도형의방정식	3.원의방정식	★★	verified_aux
SM2-23	math2	I.도형의방정식	3.원의방정식	★★	verified_aux
SM2-24	math2	I.도형의방정식	3.원의방정식	★★★	verified_aux
SM2-25	math2	I.도형의방정식	3.원의방정식	★★	verified_aux
SM2-26	math2	I.도형의방정식	4.도형의이동	★★	verified_aux
SM2-27	math2	I.도형의방정식	4.도형의이동	★★	verified_aux
SM2-28	math2	I.도형의방정식	4.도형의이동	★★★	verified_aux
SM2-29	math2	I.도형의방정식	4.도형의이동	★★	verified_aux
SM2-30	math2	I.도형의방정식	4.도형의이동	★★	verified_aux
SM2-31	math2	I.도형의방정식	4.도형의이동	★★	verified_aux
