date	step	target	decision	evidence	reason	confidence	actor
2026-08-27	transcribe	표지·머리말(시행일·쪽수·문항수·비율·유의사항·인쇄번호)	transcribe	extracted/2024-2학기/기말/통합과학.txt [표지] + corpus/_images/EX-science-20242F/bindata/BIN0001.jpg	2024-12-16 3교시, 총 7쪽·선택형 24·서답형 8, OMR 뒷면, 30/30/40 비율, 유의사항 5항, 인쇄번호 [7-4] 전 면 확인	high	type-extractor
2026-08-27	transcribe	선택형 1~3번 (질량-에너지·태양에너지·화석연료)	transcribe	extracted txt [문항1~3] + BIN 없음	3문항 축자 전사; 1ㄷ 질량 m·E=mc², 2ㄱ ¹H/⁴He 표기가 HWP EQED 유실에서 빈 괄호로 남아 인라인 unreadable 처리	medium	type-extractor
2026-08-27	transcribe	선택형 4번 (태양전지 그림)	transcribe	extracted txt + corpus/_images/EX-science-20242F/bindata/BIN0002.bmp [4번]	태양광→태양전지→전구 전선 연결 그림을 시각 확인 후 묘사, 보기 ㄱㄴㄷ 축자 전사	high	type-extractor
2026-08-27	transcribe	선택형 5번 (발전 방식 분류 표)	transcribe	extracted txt [5번 표]	3×2 분류표(A~D, 교류/해양/날씨) 및 보기 ㄱㄴㄷ 축자 전사; 숫·문자 원문 그대로	high	type-extractor
2026-08-27	transcribe	선택형 6번 (수소 연료 전지 그림)	transcribe	extracted txt + corpus/_images/EX-science-20242F/bindata/BIN0006.bmp [6번]	전해질·전극·전구·ㄱ 화살표·A/B 가스 주입구 구조를 시각 확인 묘사; TXT의 "A B H 2 O" 파편화는 유지	high	type-extractor
2026-08-27	transcribe	선택형 7번 (이온 모형 그림)	transcribe	extracted txt + corpus/_images/EX-science-20242F/bindata/BIN0011.png~BIN0013.png [7번 (가)(나)(다)]	(가) 삼각·하트, (나) 사각·삼각, (다) 별·사각 각 4개 배치 시각 확인; 이온명(Cl⁻, NaOH 등) EQED 유실로 빈 괄호 남아 unreadable	medium	type-extractor
2026-08-27	transcribe	선택형 8번 (BTB 용액 표)	transcribe	extracted txt [8번 표]	BTB 색(파/노/초) 행은 확인되나 첨가 용액명·농도·부피가 EQED 유실로 공백/열 어긋남 — 표 구조 유실로 unreadable 행 별도 등재	low	type-extractor
2026-08-27	transcribe	선택형 9번 (중화 실험)	transcribe	extracted txt [9번]	실험 과정 부피 수치·보기의 이온 비 전부가 EQED 유실로 빈 괄호/줄바꿈만 남아 축자 유지 불가 — 인라인 unreadable 처리	low	type-extractor
2026-08-27	transcribe	선택형 10번 (혼합 용액 그림)	transcribe	extracted txt + corpus/_images/EX-science-20242F/bindata/BIN0016.png [10번]	(가)(나)(다) 막대/수위 도식 시각 확인(수치 라벨 판독 한계), (나) 이온 2종 조건 확인; 화학식(Mg 등) 유실은 unreadable	medium	type-extractor
2026-08-27	transcribe	선택형 11번 (혼합 용액 표)	transcribe	extracted txt [11번 표]	부피(10/20/25) 일부 확인되나 이온명·농도 열 제목이 EQED 유실로 공백 — 인라인 unreadable	low	type-extractor
2026-08-27	transcribe	선택형 12번 (중화 반응 실험)	transcribe	extracted txt [12번]	이온화 자료·과정·결과·보기의 모든 화학식·수치가 EQED 유실로 판독 불가 — 인라인 unreadable 별도 행 등재	low	type-extractor
2026-08-27	transcribe	선택형 13번 (생태계 요소 그림+표)	transcribe	extracted txt + corpus/_images/EX-science-20242F/bindata/BIN0008.png [13번]	생태계→생물/비생물→개체군 A/B 화살표(ㄱㄴㄷ) 구조 시각 묘사, 표 (가)광합성·(나)연꽃·(다)? 축자 전사	high	type-extractor
2026-08-27	transcribe	선택형 14번 (생물 요소 표)	transcribe	extracted txt [14번 표]	(가)멸치·고등어·(나)버섯·곰팡이·(다)미역·식물플랑크톤 표 및 보기 ㄱㄴㄷ 축자 전사	high	type-extractor
2026-08-27	transcribe	선택형 15번 (잎 단면 그림)	transcribe	extracted txt + corpus/_images/EX-science-20242F/bindata/BIN0009.png [15번]	(가) 두꺼운 울타리 조직 밀집·(나) 얇은 1층 구조를 시각 확인 묘사, 보기 ㄱㄴㄷ 축자 전사	high	type-extractor
