date	step	target	decision	evidence	reason	confidence	actor
2026-09-09	transcribe	p01(표지)	transcribed	native/p01.png	인쇄 선언(총 7쪽·단답형20문항·서술형4문항)·고사반영비율(중간30/기말30/수행40)·유의사항 1~5 전부 확인, 절단 없이 완결. 회전각 -90	high	main-loop
2026-09-09	observed	유의사항 5)-② 필기구 문구	printed-as-is	p01 표지 유의사항 박스	이 유닛은 '연필, 샤프 또는 검정색펜으로만 작성'으로 인쇄되어 있다(같은 학년 영어 유닛은 '검정색과 청색 펜'). 관측 사실만 기록(원칙 1)	high	main-loop
2026-09-09	transcribe	p02(1~8번, 인쇄1면)	transcribed	native/p02.png	갈래 표시 박스 '단답형 문항' 확인. 1~8번 발문·수식·배점 완결. 4번은 조립제법 표 포함. 회전각 +90, 꼬리말 '전체 7면 중 1면'	high	main-loop
2026-09-09	observed	4번 조립제법 표의 인쇄 문자	printed-with-overwrite	p02 좌단 하부(300dpi 2배 확대 대조)	인쇄 문자는 -e 배열 1 a -2 b / -c -d g / 1 2 -f 12 로 판독된다. 그 위에 학생이 -3,5,2,-3,6,24,6 을 덧쓴 필기가 겹쳐 있으나 활자와 필체가 구분되어 인쇄 문면이 전건 판독됐다. 오탈 여부는 판단하지 않는다(원칙 1)	high	main-loop
2026-09-09	transcribe	p03(9~12번, 인쇄2면)	transcribed	native/p03.png	9~12번 완결. 11번(직각삼각형+내접 직사각형)·12번(직육면체 투시도) 그림 2건 확인, 치수 라벨 전부 판독. 회전각 -90, 꼬리말 '전체 7면 중 2면'	high	main-loop
2026-09-09	transcribe	p04(13~16번, 인쇄3면)	transcribed	native/p04.png	13~16번 완결. 14번·15번은 조건 (가)(나) 박스 포함. 회전각 +90, 꼬리말 '전체 7면 중 3면'	high	main-loop
2026-09-09	transcribe	p05(17~18번, 인쇄4면)	transcribed	native/p05.png	17번(조건 2개 박스)·18번(조건 3개 박스) 완결. 회전각 -90, 꼬리말 '전체 7면 중 4면'	high	main-loop
2026-09-09	transcribe	p06(19~20번, 인쇄5면)	transcribed	native/p06.png	19번(조건 3개 박스, 켤레복소수)·20번(조건 2개 박스) 완결. 단답형 20문항 종료. 회전각 +90, 꼬리말 '전체 7면 중 5면'	high	main-loop
2026-09-09	transcribe	p07([서술형1]·[서술형2], 인쇄6면)	transcribed	native/p07.png	갈래 표시 박스 '서술형 문항' 확인. 서술형1·2 완결, 각 [10점]. 회전각 -90, 꼬리말 '전체 7면 중 6면'	high	main-loop
2026-09-09	transcribe	p08([서술형3]·[서술형4], 인쇄7면)	transcribed	native/p08.png	서술형3·4 완결, 각 [10점]. 최하단 '수고하였습니다.'로 종료. 회전각 +90, 꼬리말 '전체 7면 중 7면'	high	main-loop
2026-09-09	observed	배점 표기 정밀도 혼재	printed-as-is	p02~p06 각 문항 끝 배점 표기	같은 갈래 안에서 정수([3점])·소수 첫째([2.7점])·소수 둘째([3.15점]·[3.41점]) 표기가 섞여 인쇄되어 있다. 인쇄 문면 그대로 전사하고 표기 통일 여부는 판단하지 않는다(원칙 1)	high	main-loop
2026-09-09	observed	선택형(5지선다) 부재	printed-as-is	p01 표지 인쇄 선언 + p02~p08 문면 전수	표지가 '단답형 20 + 서술형 4'만 선언하고 문면에도 5지선다가 한 문항도 없다. 자(tools/measure_score_bands.py)는 math 과목 유닛의 선택형 버킷을 0으로 접는다	high	main-loop
2026-09-09	verify	단답형 배점 합계	60.0	transcript.md '판독 상태 총괄' 자체 열거식	2.7+2.7+2.7+2.8+2.8+2.8+2.9+2.9+3+3+3+3+3.1+3.1+3.15+3.17+3.2+3.23+3.34+3.41 = 60.00 (실측 재계산 확인)	high	main-loop
2026-09-09	verify	서술형 배점 합계	40.0	transcript.md '판독 상태 총괄' 자체 열거식	10+10+10+10 = 40.0. 단답형 60.0 + 서술형 40.0 = 100.0	high	main-loop
2026-09-09	verify	문항 수 대조	24	표지 인쇄 선언 '단답형( 20 )문항, 서술형( 4 )문항' 대 전사 문항 머리 실측	transcript.md 문항 머리 '### ' 실측 24개(단답형 20 + 서술형 4) = 인쇄 선언 24. 차 0, unreadable 행 0건	high	main-loop
2026-09-10	observed	meta.yml: render_dpi 이중성(EX-math1-20261M)	documented-not-decided	PyMuPDF page.rect + extract_image 실측 4299x3035 / rect 1033.4x729.6 -> round(w*72/W)=300, 전 쪽 uniform	분모 기준본 pNN.png는 dpi160 렌더, 판독 기준본 native/pNN.png는 계산 실효 dpi 300. 필드가 어느 쪽을 가리키는가에 대해 DATA_STANDARD §5.7(pNN.png 인자)과 260903_04 C-A1-3(native 실효 dpi)이 서로 다르게 규정하므로 실행 레인이 값을 바꾸지 않고 두 사실을 주석으로 병기했다(원칙 12-a 결정요청 상신). 값 변경 없음이므로 corrected 행이 아니다(260903_04 C-A4-iii)	high	main-loop
