path	opus_sha256	current_sha256	changed	note
corpus/EX-math2-20252M/transcript.md	9f8304db309aad65fb5ad3c097adb3edbb8883e6eca7ff8dc898a107f354ba10	9e2ed478c120c790327eec4e68404bbfbf6e50028f099934b22803d3671744be	true	post-Opus remediation/policy state
corpus/EX-math2-20252M/meta.yml	b6fc601787de346288c8b27d48f64952b098b4d25cd21e7d2d515e830f14eb8b	976ad866e106401c607e93ea3e955f208743ff88e38fa10cc603b272af077450	true	post-Opus remediation/policy state
corpus/EX-math2-20252M/verify_log.tsv	4e6eb4c367d2c711fa799850419439b206643ecbd351ca6418ea4710d1abff55	42552be980e8a9ddb33f598f38d3a8a9b78636f647ed5388130d830749de38ca	true	post-Opus remediation/policy state
corpus/EX-math2-20252M/_images/bindata/BIN0001.jpg	NOT_IN_OPUS_MANIFEST	f53f7372b9934148ba9dab9e565e4d9b4f55918cf169db387938f808185d483f	true	new required canonical/evidence input
corpus/EX-math2-20252M/_images/bindata/BIN0002.bmp	NOT_IN_OPUS_MANIFEST	5bfb3b081a12a0a2967ce3c4f6a4671ffc7960780bcb760432b855dc91b199b0	true	new required canonical/evidence input
corpus/EX-math2-20252M/_images/bindata/BIN0003.jpg	NOT_IN_OPUS_MANIFEST	89753c098e8283ef303fe55387851c37d744220ff4edf906982bfe373f182ba7	true	new required canonical/evidence input
analysis/catalog/_README.md	NOT_IN_OPUS_MANIFEST	6f8b87b6c6232610f15be25d4ec3455f818a0acfb18dea81d8387da4d4da494f	true	new required canonical/evidence input
analysis/catalog/math2.md	959414ba8ff8754e8d2331b2afd7385f42e93a9dcbb3c24d36022fb4191fd0d0	959414ba8ff8754e8d2331b2afd7385f42e93a9dcbb3c24d36022fb4191fd0d0	false	unchanged
analysis/catalog/COMMON_TYPES.md	dd3541e3857e10bd71efd48144e29d4419bb9ebbd5bb56e64d3e9f20cd093e05	dd3541e3857e10bd71efd48144e29d4419bb9ebbd5bb56e64d3e9f20cd093e05	false	unchanged
analysis/catalog/TYPE_MASTER.md	ff45bdf8f6f46689ccd68a5caa645e5c7be54bca456684f0483bee82db24bea9	ff45bdf8f6f46689ccd68a5caa645e5c7be54bca456684f0483bee82db24bea9	false	unchanged
analysis/catalog/DIFFICULTY_RUBRIC.md	1533e2930d10fd30dc0f2dd371f22ce87035556bc5b5367e8abaf2bcebee0f69	1533e2930d10fd30dc0f2dd371f22ce87035556bc5b5367e8abaf2bcebee0f69	false	unchanged
analysis/catalog/CODE_REGISTRY.md	d63bc83ecdca6aa0f63638aaa4ba845ca9890e0b646bc05371ebddb3b8764844	a436841b3e0067bf22d5641639f249db9f2a03521739b8c6ad45b40c709fb51b	true	post-Opus remediation/policy state
analysis/curriculum_2022.md	a746c017bf394e28a3c0fc73ceb3858af6323861abe1dd50101acf4c5cb4b58a	a746c017bf394e28a3c0fc73ceb3858af6323861abe1dd50101acf4c5cb4b58a	false	unchanged
analysis/FORECAST_GUIDE.md	NOT_IN_OPUS_MANIFEST	129a264b1cb9e7db49f08ee0012a89f9c4344e371c3100efc1a07eecfefca322	true	new required canonical/evidence input
.claude/agents/type-proposer.md	6fb5f47578cd4a94fcf614a6f82ebb9e52c499709513b769ef115565b939416a	95ec20a69def003651f9b8d960dbebf4ab86d0246e403936e54168edd018a36d	true	post-Opus remediation/policy state
docs/CODEX_TEAM_ASSURANCE_GUIDE.md	NOT_IN_OPUS_MANIFEST	f2fa57e4a038169942691dd995edaadc0266e786e079f699854b1cf16e6a7672	true	new required canonical/evidence input
AGENTS.md	NOT_IN_OPUS_MANIFEST	81ddba34c5a9bff104b9ab567c8ec047104db965b14299e650045d1eb4a144a3	true	new required canonical/evidence input
