item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
B/1	IN-11+IN-09+IN-05	뒤에서부터 빼면 이전 원소가 아직 원값이어서 차이 [2,3,4,5]가 된다. 앞에서부터 더하면 복원된 이전값을 이용해 [2,5,9,14]로 돌아온다.	차분 변환과 누적 복원을 순서대로 수행	갱신 방향에 따라 원값 또는 갱신값을 읽음	차분 변환과 누적 복원을 순서대로 수행 → 갱신 방향에 따라 원값 또는 갱신값을 읽음	output/260910/260910_01_info_composite_a_questions_review.md / A2	BLOCKED
B/2	IN-01+IN-09+IN-11+IN-06	각 출발 위치0,1,2,3의 도착 위치는1,1,0,0이다. hits에는 이동량이나 출발 위치가 아니라 도착한 횟수를 누적하므로0번과1번만2가 된다.	출발 인덱스와 이동량으로 순환 도착 위치 생성	같은 도착 위치로 모이는 여러 출발점의 횟수 집계	출발 인덱스와 이동량으로 순환 도착 위치 생성 → 같은 도착 위치로 모이는 여러 출발점의 횟수 집계	output/260910/260910_01_info_composite_a_questions_review.md / A14	BLOCKED
B/3	IN-19+IN-04+IN-06	첫 리스트는7을 만났을 때 즉시 반환하여9를 읽지 않는다. 둘째는 끝까지 조건 불충족이므로0.	조건부 조기 반환으로 순회 중단	발견과 미발견의 두 반환 경로	조건부 조기 반환으로 순회 중단 → 발견과 미발견의 두 반환 경로	corpus/SUP-info-2026-01/transcript.md / **Quiz 9**	BLOCKED
B/4	IN-22+IN-15+IN-13	각 열에 별도 누적하여 첫열2+5+4=11, 둘째열8+1+6=15. 최댓값은15.	하나의 총합 대신 열별 누적 상태	완성한 집계 리스트에서 최댓값 선택	하나의 총합 대신 열별 누적 상태 → 완성한 집계 리스트에서 최댓값 선택	corpus/SUP-info-2026-02/transcript.md / **Quiz 3**	BLOCKED
B/5	IN-14+IN-06+IN-03	A인 위치1,3,5는 모두 홀수. 그 직전 위치0,2,4의 C,B,C를 붙인다.	문자값과 위치 조건을 동시에 검사	일치 문자 자체가 아닌 이웃 문자를 출력	문자값과 위치 조건을 동시에 검사 → 일치 문자 자체가 아닌 이웃 문자를 출력	output/260910/260910_01_info_composite_a_questions_review.md / **14.**	BLOCKED
B/6	IN-08+IN-09+IN-02	차는5−2=3, 4−7=−3. 두 포인터가2,1이 되어 교차하면서 종료, 합0.	양끝 인덱스가 동시에 이동	종료 여부를 두 위치의 관계로 결정	양끝 인덱스가 동시에 이동 → 종료 여부를 두 위치의 관계로 결정	output/260910/260910_01_info_composite_a_questions_review.md / **6.**	BLOCKED
B/7	IN-20+IN-19+IN-04+IN-06	4를 승인하면 재고3. 5는 거절되어 재고3을 유지한다. 2와1을 차례로 승인해 재고1,0. 반환된 참/거짓은 accepted에 기록할지를 결정하고 전역 재고는 뒤 요청의 승인 여부를 바꾼다.	함수의 조기 반환이 전역 상태 갱신을 차단	변경된 자원이 다음 호출의 허용 여부와 기록을 결정	함수의 조기 반환이 전역 상태 갱신을 차단 → 변경된 자원이 다음 호출의 허용 여부와 기록을 결정	output/260910/260910_01_info_composite_a_questions_review.md / A1	BLOCKED
B/8	IN-21+IN-10+IN-11	첫 호출은 [2,5,7,9]→[7,9]→[] 순으로 줄고 복귀 때7,2를 추가한다. 두 번째는 [5,7,9]→[9]→[]에서9,5를 추가한다.	두 칸씩 축소해 위치 집합을 나누어 선택	재귀 복귀 뒤에 추가하여 선택 원소의 순서를 뒤집음	두 칸씩 축소해 위치 집합을 나누어 선택 → 재귀 복귀 뒤에 추가하여 선택 원소의 순서를 뒤집음	corpus/SUP-info-2026-01/transcript.md / Quiz14	BLOCKED
B/9	IN-14+IN-06+IN-11+IN-03	첫 A는0에서, 다음 B는2에서, 마지막 A는4에서 고른다. 선택할 때만 p가 증가하며 같은 글자가 반복돼도 다음 필요 문자와 맞지 않으면 건너뛴다. p=3 이후에는 pattern[3]에 접근하지 않는다.	선택한 문자에 따라 다음에 찾을 문자가 변경	출현 횟수 대신 순서를 지킨 부분수열의 위치를 구성	선택한 문자에 따라 다음에 찾을 문자가 변경 → 출현 횟수 대신 순서를 지킨 부분수열의 위치를 구성	output/260910/260910_02_info_composite_b_questions_review.md / B3	BLOCKED
B/10	IN-08+IN-09+IN-11	2와 두 개의5는 모두5 이하이므로 pos가0→1→2→3으로 이동한다. a[3]=9에서 종료하고 인덱스3에5를 넣는다. 같은 값의 첫 위치가 아니라 같은 값들 뒤이다.	삽입 위치를 상수가 아닌 탐색 종료 상태로 결정	중복값을 통과하는 이하 조건과 위치 경계를 함께 처리	삽입 위치를 상수가 아닌 탐색 종료 상태로 결정 → 중복값을 통과하는 이하 조건과 위치 경계를 함께 처리	output/260910/260910_02_info_composite_b_questions_review.md / B12	BLOCKED
B/11	IN-22+IN-09+IN-11+IN-04	두 작업대의 누적량이 동률이면0번을 고른다. 배정 후 loads는 [2,0]→[2,1]→[2,3]→[3,3]. 작업대에 따라 같은 작업의 소요량도 job[0] 또는 job[1]로 달라진다.	직전 행값 대신 두 누적 상태를 비교해 배정 위치 결정	선택한 위치가 더할 자료 열을 결정하고 다음 선택에 피드백	직전 행값 대신 두 누적 상태를 비교해 배정 위치 결정 → 선택한 위치가 더할 자료 열을 결정하고 다음 선택에 피드백	output/260910/260910_02_info_composite_b_questions_review.md / B4	BLOCKED
B/12	IN-07+IN-11+IN-04	요구3은 처음 적합한 인덱스1에 배정하여0으로 만든다. 요구2는 인덱스0에 배정한다. 요구4는 남은3에 들어가지 못한다. done은 한 요구가 여러 칸을 차지하지 않게 한다.	이전 배정이 다음 순회의 가용 데이터를 변경	요구별 최초 적합 칸만 선택하는 상태변수 사용	이전 배정이 다음 순회의 가용 데이터를 변경 → 요구별 최초 적합 칸만 선택하는 상태변수 사용	output/260910/260910_01_info_composite_a_questions_review.md / A9	BLOCKED
B/13	IN-10+IN-13+IN-06+IN-04	길이3인 구간은 시작 위치0,1,2에서 모두 합8이다. 초기 best=8이고 >는 동률에서 거짓이므로 start는0을 유지한다. 리스트 사본을 수정하는 성질은 사용하지 않는다.	겹치는 고정 길이 구간들의 합을 후보로 비교	최댓값 동률에서 엄격 부등식이 최초 위치를 보존	겹치는 고정 길이 구간들의 합을 후보로 비교 → 최댓값 동률에서 엄격 부등식이 최초 위치를 보존	output/260910/260910_02_info_composite_b_questions_review.md / B11	BLOCKED
B/14	IN-14+IN-19+IN-04	첫 호출은 길이2와3이므로 CDE+AB. 둘째는2와1이므로 XY+Z. 입력 길이에 따라 결합 순서가 달라진다.	부분 문자열 길이로 연결 순서를 선택	같은 함수에 다른 길이를 주어 분기 비교	부분 문자열 길이로 연결 순서를 선택 → 같은 함수에 다른 길이를 주어 분기 비교	corpus/SUP-info-2026-02/transcript.md / **Quiz 4**	BLOCKED
B/15	IN-19+IN-08+IN-09+IN-04	9 탐색은 mid=2의7 뒤 구간에서 mid=3의9를 찾아3을 반환한다. 8 탐색은 mid=2의7 뒤로 이동한 다음 mid=3의9 앞까지 줄인다. left=3, right=2로 역전되어−1을 반환한다. 재귀 선형 탐색과 달리 비교 결과로 양쪽 중 한 구간 전체를 버린다.	정렬된 자료의 가운데 비교로 탐색 구간을 선택	발견 반환과 구간 역전으로 인한 미발견 반환을 구분	정렬된 자료의 가운데 비교로 탐색 구간을 선택 → 발견 반환과 구간 역전으로 인한 미발견 반환을 구분	output/260910/260910_02_info_composite_b_questions_review.md / B19	BLOCKED
B/16	IN-22+IN-11+IN-13+IN-07	먼저 둘째 행이2+max(7,1)=9, 5+max(1,3)=8로 바뀐다. 첫째 행은 원래 아래값2,5가 아니라 갱신된9,8을 비교하여4+9=13이 된다. 더 큰 바로 아래 원래값5를 고르는 것과 결과가 다르다.	아래쪽 부분 경로의 집계 결과를 먼저 계산	인접한 두 후보의 최댓값을 위 행 갱신에 사용	아래쪽 부분 경로의 집계 결과를 먼저 계산 → 인접한 두 후보의 최댓값을 위 행 갱신에 사용	output/260910/260910_01_info_composite_a_questions_review.md / A25	BLOCKED
B/17	IN-03+IN-04+IN-06+IN-11	처리 후 on은 True,True,False,True,True이다. 0은 끄기 명령이 아니라 상태를 바꾸지 않는 입력이다. 두 번째 if는 첫 번째와 독립이므로 입력0인 위치1과4도 기록된다.	각 입력을 독립 판정하지 않고 이전 불리언 상태를 반전 또는 유지	상태 갱신 뒤 별도 조건에서 위치 기록	각 입력을 독립 판정하지 않고 이전 불리언 상태를 반전 또는 유지 → 상태 갱신 뒤 별도 조건에서 위치 기록	output/260910/260910_01_info_composite_a_questions_review.md / A17	BLOCKED
B/18	IN-08+IN-09+IN-02	인덱스0에서1칸, 1에서2칸, 3에서3칸 이동해6에서 종료. 이동값과 방문 인덱스를 구별한다.	원소값이 다음 이동폭을 결정	방문 위치의 기록과 종료 위치를 따로 출력	원소값이 다음 이동폭을 결정 → 방문 위치의 기록과 종료 위치를 따로 출력	output/260910/260910_01_info_composite_a_questions_review.md / **6.**	BLOCKED
B/19	IN-21+IN-10+IN-04	5는 [5]에서 상대위치0을 반환하고 복귀할 때1씩 더해 원래 위치3이 된다. 2는 빈 리스트까지 가서−1을 반환하며 이 값에는1을 더하지 않는다. 최대 깊이는5이다.	부분 리스트의 상대 위치를 복귀 단계에서 원래 위치로 변환	미발견 표식은 위치 보정 없이 전달	부분 리스트의 상대 위치를 복귀 단계에서 원래 위치로 변환 → 미발견 표식은 위치 보정 없이 전달	corpus/SUP-info-2026-01/transcript.md / p06 list_sum	BLOCKED
B/20	IN-22+IN-06+IN-03	행별 짝수 수는2,0,3. 둘 이상인 행은 첫째와 셋째이므로2행.	원소 개수에서 조건 충족 행 개수로 집계 단위 전환	안쪽 누적은 행마다 초기화	원소 개수에서 조건 충족 행 개수로 집계 단위 전환 → 안쪽 누적은 행마다 초기화	corpus/SUP-info-2026-02/transcript.md / **Quiz 5 (고난이도)**	BLOCKED
B/21	IN-19+IN-10+IN-13+IN-11+IN-22	마지막 칸을 제외한 합계는7,5,6이다. 기록된8,5,5와 비교하여0번과2번 행만 불일치한다. 해당 행의 마지막 칸만7과6으로 복구하고 수정한 행 번호를 남긴다.	자료 칸과 검사용 합계 칸을 슬라이스로 분리	함수의 일관성 검사 결과가 선택적 복구와 수정 이력을 결정	자료 칸과 검사용 합계 칸을 슬라이스로 분리 → 함수의 일관성 검사 결과가 선택적 복구와 수정 이력을 결정	output/260910/260910_01_info_composite_a_questions_review.md / A4	BLOCKED
B/22	IN-13+IN-12+IN-11	한 회차에 최댓값 하나만 이동한다. 첫8 삭제 후에도8이 남아 둘째회차에도8을 이동, a합5.	메서드 이름 판별 대신 선택과 이동의 반복	중복 최댓값을 한 번에 하나씩 처리	메서드 이름 판별 대신 선택과 이동의 반복 → 중복 최댓값을 한 번에 하나씩 처리	output/260910/260910_01_info_composite_a_questions_review.md / **22.**	BLOCKED
B/23	IN-06+IN-26+IN-04	run은1,2,0,1,2. 조건 실패에서 현재 연속 횟수만 초기화되고 best는2로 보존된다.	전체 횟수 대신 연속 충족 길이 추적	현재 길이와 과거 최대 길이를 분리	전체 횟수 대신 연속 충족 길이 추적 → 현재 길이와 과거 최대 길이를 분리	output/260910/260910_01_info_composite_a_questions_review.md / **23.**	BLOCKED
