item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
A/1	IN-04+IN-06+IN-02	잔액은 5→2→10→8→2가 된다.	고정 조건 대신 직전 잔액에 의존하는 분기	단일 합산 대신 지불과 충전의 교대	고정 조건 대신 직전 잔액에 의존하는 분기 → 단일 합산 대신 지불과 충전의 교대	output/260908/260908_04_info_midterm_26.md / **20.**	BLOCKED
A/2	IN-09+IN-11+IN-06	i=1에서 7, i=2에서 이미 바뀐 7을 더해 8, i=3에서 8을 더해 12가 된다.	이전 원소의 갱신값이 다음 원소로 전달	독립 원소 계산 대신 순차 상태 의존	이전 원소의 갱신값이 다음 원소로 전달 → 독립 원소 계산 대신 순차 상태 의존	corpus/EX-info-20252M/transcript.md / [ 단답형2 ]	BLOCKED
A/3	IN-19+IN-10+IN-01	첫 이동량은2이므로 b=[1,3,2,4]. 다음 이동량은 원래의2가 아니라 b의 첫 원소1이다. 두 슬라이스를 이어 붙여 길이를 유지하며 c=[3,2,4,1]이 된다.	데이터 자체에서 이동량을 정해 두 슬라이스를 재결합	재배열된 첫 원소가 다음 변환을 제어	데이터 자체에서 이동량을 정해 두 슬라이스를 재결합 → 재배열된 첫 원소가 다음 변환을 제어	output/260910/260910_01_info_composite_a_questions_review.md / A13	BLOCKED
A/4	IN-22+IN-13+IN-09	첫 행은 8−2=6, 둘째 행은 첫 원소가 최댓값이므로 제외, 셋째 행은 7−2=5를 더한다.	원소 조건을 행의 최댓값 위치 조건으로 변경	행을 선별한 뒤 행별 범위를 합산	원소 조건을 행의 최댓값 위치 조건으로 변경 → 행을 선별한 뒤 행별 범위를 합산	corpus/SUP-info-2026-02/transcript.md / **Quiz 5 (고난이도)**	BLOCKED
A/5	IN-14+IN-03+IN-04	part는 BACB. 양끝 B가 같고 가운데 A와 C는 달라 참 분기에서 AC를 출력한다.	슬라이스 결과의 내부 관계가 분기 결정	원문이 아닌 파생 문자열을 다시 슬라이싱	슬라이스 결과의 내부 관계가 분기 결정 → 원문이 아닌 파생 문자열을 다시 슬라이싱	output/260908/260908_04_info_midterm_26.md / **7.**	BLOCKED
A/6	IN-08+IN-09+IN-02	4와 3까지 담으면 used=7, i=2. 다음 5를 더하면 12여서 반복 몸체에 들어가지 않는다.	반복 전 다음 원소의 수용 가능성 검사	종료 인덱스와 누적량을 함께 추적	반복 전 다음 원소의 수용 가능성 검사 → 종료 인덱스와 누적량을 함께 추적	output/260908/260908_04_info_midterm_26.md / **20.**	BLOCKED
A/7	IN-19+IN-03+IN-06	f(n)=4의 후보는 홀수3과 짝수8이다. n=3이면 f(4)=2로 탈락, n=8이면 f(9)=10으로 통과한다. 따라서 [8]만 남는다.	함수 출력에서 가능한 입력을 역으로 선별	인접 입력의 두 번째 관측으로 후보를 제거	함수 출력에서 가능한 입력을 역으로 선별 → 인접 입력의 두 번째 관측으로 후보를 제거	output/260910/260910_01_info_composite_a_questions_review.md / A3	BLOCKED
A/8	IN-07+IN-13+IN-22+IN-03	행합은5,5,7이다. 행0보다 앞서는 것은 행2뿐이므로2위. 행1은 합7인 행2와 동점이면서 번호가 작은 행0 뒤여서3위. 행2는1위이다. 자기 자신은 j<i가 거짓이라 세지 않는다.	행별 집계값을 모든 다른 행과 비교해 상대 순위를 구성	동점일 때 위치 순서로 우선순위를 결정	행별 집계값을 모든 다른 행과 비교해 상대 순위를 구성 → 동점일 때 위치 순서로 우선순위를 결정	output/260910/260910_01_info_composite_a_questions_review.md / A25	BLOCKED
A/9	IN-07+IN-09+IN-06	i<j인 쌍 중 (1,4), (4,6), (6,9)만 차이가 4 이하이다. 역순 쌍과 자기 자신은 세지 않는다.	중복 없는 두 인덱스 조합 순회	배수 조건 대신 두 원소 간 차이로 선별	중복 없는 두 인덱스 조합 순회 → 배수 조건 대신 두 원소 간 차이로 선별	output/260908/260908_04_info_midterm_26.md / **21.**	BLOCKED
A/10	IN-08+IN-11+IN-09	i=1에서 두 번째3을 지우면 [3,1,4,4,2]. i를 늘리지 않고 새 a[1]=1을 재검사한다. 이후 i=3에서 두 번째4를 지우고 새 a[3]=2를 재검사한다. 기록은 원래 인덱스가 아닌 삭제 당시 위치1,3이다.	리스트 길이와 위치가 변하는 동안 같은 자리를 재검사	삭제 성공 여부에 따라 인덱스 증가를 달리함	리스트 길이와 위치가 변하는 동안 같은 자리를 재검사 → 삭제 성공 여부에 따라 인덱스 증가를 달리함	output/260910/260910_01_info_composite_a_questions_review.md / A22	BLOCKED
